aussi bien	ADV
à base de	ADP
à bien ADV
à bord ADV
à cause de	ADP
à cause	 ADV
à ce effet	ADV
à ce égard	ADV
à ce sujet	X
à cloche-pied	ADV
à compter	ADV
à condition que	SCONJ
à coup	ADV
à coup sûr  ADV
à court de	ADP
à court terme	ADJ
à côté	ADV
à fond	ADV
à hauteur de	ADP
à hauteur  ADV
à juste titre	ADV
à le bas mot	ADV
à le cœur de	ADP
à le contraire	ADV
à le côté de	ADP
à le cours	ADV
à le delà	ADV
à le demeurer	ADV
à le dépens de	ADP
à le détriment de	ADP
à le encontre de	ADP
à le exception de	ADP
à le faveur de	ADP
à le final	ADV
à le fois	ADV
à le fond	ADV
à le fur et à mesure de	ADP
à le instar de	ADP
à le issue de	ADP
à le jour le jour	ADV
à le juste	ADV
à le lettre	ADV
à le lieu	ADV
à le maximum	ADV  divergence avec PARSEME.FR, le critère DET ne fonctionne pas : "à un grand maximum"
à le mode	ADP
à le moins	ADV
à le motif que	SCONJ
à le moyen de	ADP
à le niveau de	ADP
à le nom de	ADP
à le nombre de	ADP
à le occasion de	ADP
à le passage	ADV
à le pied de	ADP
à le plus vite	ADV
à le revoir	NOUN
à le sortir de	ADP
à le suite de	ADP
à le sujet de	ADP
à le titre de	ADP
à le total	ADV
à le voir de	ADP
à long terme	ADV
à même	ADJ
à merveille	ADV
à mesure que	SCONJ
à moins	 ADV
à moins de	ADP
à moins que	SCONJ
à nouveau	ADV
à part	ADP
à partir	ADP
à peine	ADV
à peu près	ADV
à présent	ADV
à priori	ADV
à proprement parler	ADV
à propos     ADV
à raison     ADV
guy à proximité	ADV  c'est une divergence par rapport à PARSEME-FR
à savoir	ADV
à terme	ADV
à titre de	ADP
à titre	 ADV
à tort	ADV
à tout casser	ADV
à tout prix	ADV
à vrai dire	ADV
bel et bien	ADV
bien entendre	ADV
bien  sûr	ADV
ce être pourquoi    ADV
comme si de rien ne être	VERB 
compte rendu	NOUN
compte tenir	ADV
contre mauvais fortune bon coeur	X
dans le mesure où	ADV
de ailleurs    ADV
de abord       ADV
de avance	ADV
de avis	ADV
de bon ton	ADJ
de ce fait	ADV
de façon à ce que	SCONJ
de habitude   ADV
de ici	ADV
de ici	ADP
de le côté de	ADP
de le fait ADV
de le même coup	X
de le moins	ADV
de le part de	ADP
de le reste	ADV
de le tout	ADV
de le tout à le tout	ADV
de manière à	ADP
de nouveau ADV
de part et de autre	ADV
de peu	ADV
guy de plus en plus de	ADP
de plus	ADV
de plus en plus	ADV
de sitôt	ADV
de surcroît	ADV
de temps à autre	ADV
de temps en temps	ADV
de tout façon	ADV
de tout manière	ADV
de tout part	ADV
de un côté	X
de un part	ADV
depuis que	SCONJ
dès lors	ADV
dès que	SCONJ
en - dessous de	ADP
en avant	ADV
en bas	ADV  divergence par rapport à PARSEME.FR
en bref	ADV  discutable car en + adj est très productif
en cas de	ADP
en ce qui concerner	VERB
en charge de	ADP
en commmun	ADV  discutable car en + adj est très productif
en continu	ADV  discutable car en + adj est très productif
en cours	ADJ
en définitif	ADV
en dépit de	ADP
en dessous de	ADP
en effet	ADV
en face		ADV
en fait	ADV
en faveur de	ADP
en fin de compte	ADV
en fonction de	ADP
en général  ADV  discutable car en + adj est très productif
en haut	ADV divergence par rapport à PARSEME.FR
en le occurrence	ADV
en matière de	ADP
en même temps	ADV
en mesure	ADJ
en outre	ADV
en parallèle	ADV  discutable car en + adj est très productif
en particulier	ADV  discutable car en + adj est très productif
en partie	ADV
en plein	ADV  suivi d'un groupe prépositionnel
en plus	ADV
en présence de	ADP
en privé    ADV
en provenance de	ADP
en qualité	ADV
en raison	ADV
en raison	X
en réalité	ADV
en référence à	ADP
en somme	ADV
en terme de	ADP
en tête	 ADV
en tout cas	ADV
en tout	ADV
en train	ADP
en vain	ADV
en vertu de	ADP
en vertu	ADV
en vue		ADV suivi de "de"
en vue	ADJ
encore que	SCONJ
en-dessous de	ADP
entre autre	ADV
entre deux	NOUN
entre temps	ADV
être donner	ADP
face à face	ADV
face à	ADP
faute de	ADP
fonction de	ADP
garde à vue	NOUN
grand mère	NOUN
haut de gamme	ADJ
histoire de	ADP
hors de	ADP
hors pair	ADJ
il être vrai	VERB
il y avoir	ADP
in vitro	ADV
jusque en	ADP
le long		ADV
le plupart	NOUN
lors de	ADP
main dans le main	ADV
main fort	NOUN
maintenant que	SCONJ
mener à bien	VERB
ne payer pas de mine	VERB
nombre de	ADP
non plus	ADV
non seulement	X
nul part	ADV
on ne pouvoir plus	ADV
par ailleurs	ADV
par conséquent	ADV
par contre	ADV
par dessus tout	ADV
par dessus  ADP
par exemple	ADV
par le biais de	ADP
par le suite	X
par rapport à	ADP
par suite	ADV
pas mal		ADV
pendant que	SCONJ
petit à petit	ADV
petit déjeuner	NOUN
peu à peu	ADV
peut-être que	SCONJ
plus ou moins	ADV
pour autant	ADV
pour ce faire	ADV
pour le heure	ADV
pour un peu	ADV
quelque chose	PRON
quelque un	PRON
qui que ce être	SCONJ
ras le bol	NOUN
salle à manger	ADV
sans cesse	ADV
sans doute	ADV
sans faute	ADV
savoir faire	NOUN
si besoin	ADV
si ce ne être	VERB
si jamais	SCONJ
si possible	X
sous couvert de	ADP
sous forme de	ADP
sous prétexte que	SCONJ
suite à	ADP
sur le champ	ADV
sur le point de	ADP
sur place	ADV
tant que	SCONJ
tel quel	ADJ
tenir compte	VERB
tête à tête	NOUN
tour à tour	ADV
tout comme	X
tout de abord	ADV
tout de le long	ADV
tout de même	ADV
tout de suite	ADV
un petit peu	ADV
un peu	ADV
y comprendre	ADP
y compris	ADV
